Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
2,49.400002,60,1.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,3,2
4,31.0,65,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3,2
5,30.700001,20,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
6,33.299999,30,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3,1
9,28.299999,80,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3,1
10,40.5,35,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3,2
11,28.0,0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3,1
12,27.9,25,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3,1
13,30.4,150,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3,1
16,25.799999,105,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
18,35.200001,30,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3,1
20,25.299999,47,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3,1
21,33.400002,90,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3,1
23,30.0,180,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,3,2
24,34.299999,30,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3,2
26,23.799999,65,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2,1
28,36.599998,10,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3,1
30,19.799999,130,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2,1
31,21.5,20,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2,1
34,30.6,85,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3,1
35,31.6,30,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
36,18.299999,145,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1
38,24.200001,15,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2,1
39,27.4,30,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3,2
41,23.5,5,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2,1
44,22.5,45,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2,1
46,26.5,120,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
