,tucaseid,tulineno,eeincome1,erbmi,erhhch,erincome,erspemch,ertpreat,ertseat,ethgt,etwgt,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eufinlwgt,eusnap,eugenhth,eugroshp,euhgt,euinclvl,euincome2,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,euwic,exincome1
0,20140101140007,1,-2.0,33.200001,1,,,30,2,0.0,0.0,,2,1,2.0,,2.0,,,1.0,5202086.0,1.0,1.0,1,60.0,5,-2.0,1.0,2.0,1.0,,2.0,1.0,2.0,170.0,1.0,2.0
1,20140101140011,1,1.0,22.700001,3,1.0,,45,14,0.0,0.0,,2,1,2.0,,1.0,1.0,2.0,1.0,29400000.0,2.0,2.0,3,63.0,5,,1.0,2.0,1.0,,1.0,2.0,2.0,128.0,2.0,0.0
2,20140101140028,1,2.0,49.400002,3,5.0,,60,0,0.0,0.0,,1,2,2.0,,2.0,,,1.0,26000000.0,2.0,5.0,2,62.0,5,2.0,,,2.0,2.0,,,,270.0,2.0,12.0
3,20140101140063,1,-2.0,,3,,,0,0,0.0,,2.0,1,2,2.0,,2.0,,,1.0,2728880.0,2.0,2.0,1,64.0,5,-2.0,2.0,2.0,1.0,1.0,2.0,6.0,,-2.0,2.0,2.0
4,20140101140168,1,2.0,31.0,3,5.0,,65,0,0.0,0.0,,1,2,1.0,5.0,2.0,,,1.0,17500000.0,1.0,4.0,1,69.0,5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,210.0,1.0,0.0
5,20140101140559,1,1.0,30.700001,3,1.0,1.0,20,10,0.0,0.0,1.0,1,1,1.0,2.0,1.0,3.0,1.0,1.0,3661280.0,2.0,3.0,2,71.0,5,,,,2.0,1.0,,,,220.0,2.0,0.0
6,20140101140610,1,1.0,33.299999,1,1.0,5.0,30,5,0.0,0.0,,1,1,2.0,,1.0,3.0,2.0,1.0,11600000.0,2.0,2.0,3,65.0,5,,1.0,2.0,3.0,2.0,2.0,5.0,2.0,200.0,2.0,0.0
7,20140101140614,1,1.0,27.5,3,1.0,,30,5,0.0,0.0,,2,1,1.0,3.0,1.0,1.0,2.0,1.0,1969350.0,2.0,2.0,1,63.0,5,,1.0,2.0,1.0,,1.0,3.0,2.0,155.0,,0.0
8,20140101140639,1,1.0,25.799999,3,1.0,,117,10,0.0,0.0,,2,1,1.0,6.0,2.0,,,1.0,6077105.0,2.0,3.0,1,70.0,5,,1.0,2.0,1.0,,1.0,4.0,2.0,180.0,,0.0
9,20140101140665,1,1.0,28.299999,3,1.0,5.0,80,0,0.0,0.0,2.0,1,2,2.0,,1.0,2.0,1.0,1.0,5179966.0,2.0,1.0,1,65.0,5,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,170.0,,0.0
10,20140101140685,1,1.0,40.5,3,1.0,,35,20,0.0,0.0,1.0,1,1,2.0,,1.0,5.0,2.0,1.0,7151101.0,2.0,4.0,1,70.0,5,,,,2.0,1.0,1.0,1.0,,282.0,,0.0
11,20140101140702,1,2.0,28.0,1,5.0,,0,5,2.0,0.0,,1,1,2.0,,2.0,,,1.0,7357354.0,2.0,3.0,1,56.0,5,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,125.0,1.0,0.0
12,20140101140725,1,1.0,27.9,3,1.0,5.0,25,10,1.0,0.0,,1,1,2.0,,1.0,5.0,1.0,1.0,7657662.0,2.0,3.0,2,77.0,5,,,,2.0,2.0,,,,235.0,2.0,0.0
13,20140101140759,1,2.0,30.4,3,5.0,5.0,150,5,0.0,0.0,1.0,1,1,2.0,,2.0,,,1.0,23000000.0,2.0,3.0,2,68.0,5,3.0,,,2.0,1.0,,,,200.0,,0.0
14,20140101140792,1,2.0,26.799999,3,5.0,,0,300,0.0,0.0,,2,1,2.0,,1.0,1.0,2.0,1.0,18800000.0,2.0,2.0,2,68.0,5,3.0,,,2.0,,,,,176.0,,0.0
15,20140101140804,1,1.0,32.900002,3,1.0,5.0,80,0,0.0,0.0,,2,2,2.0,,1.0,3.0,1.0,1.0,6754359.0,2.0,3.0,2,65.0,5,,,,2.0,,,,,198.0,2.0,0.0
16,20140101140836,1,3.0,25.799999,3,2.0,,105,2,0.0,0.0,,1,1,1.0,7.0,2.0,,,1.0,2229361.0,2.0,2.0,1,60.0,5,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,132.0,,0.0
17,20140101140852,1,1.0,26.5,3,1.0,,60,5,0.0,0.0,,2,1,1.0,4.0,2.0,,,1.0,2174425.0,2.0,2.0,1,66.0,5,,1.0,2.0,1.0,,1.0,2.0,1.0,164.0,,0.0
18,20140101140854,1,-2.0,35.200001,3,,,30,1,0.0,0.0,2.0,1,1,2.0,,1.0,2.0,2.0,1.0,4989009.0,2.0,2.0,2,64.0,5,-2.0,,,2.0,1.0,,,,205.0,2.0,2.0
19,20140101140872,1,1.0,,3,1.0,5.0,0,10,0.0,,,1,1,1.0,4.0,2.0,,,1.0,8319956.0,2.0,4.0,3,65.0,5,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,-3.0,2.0,0.0
20,20140101140875,1,1.0,25.299999,3,1.0,5.0,47,15,0.0,0.0,2.0,1,1,2.0,,1.0,1.0,2.0,1.0,14100000.0,2.0,2.0,2,70.0,5,,2.0,2.0,3.0,1.0,,,,176.0,,0.0
21,20140101140876,1,1.0,33.400002,3,1.0,5.0,90,0,0.0,0.0,,1,2,2.0,,1.0,3.0,1.0,1.0,4744277.0,2.0,3.0,3,58.0,5,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,160.0,,0.0
22,20140101140885,1,-3.0,25.5,3,,,45,0,0.0,0.0,,2,2,2.0,,1.0,1.0,1.0,1.0,5131320.0,2.0,2.0,1,61.0,5,-3.0,1.0,2.0,1.0,,1.0,1.0,2.0,135.0,,3.0
23,20140101140911,1,1.0,30.0,3,1.0,5.0,180,10,0.0,0.0,,1,1,2.0,,1.0,1.0,2.0,1.0,10300000.0,2.0,5.0,1,65.0,5,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,180.0,,0.0
24,20140101140940,1,1.0,34.299999,3,1.0,5.0,30,10,0.0,0.0,2.0,1,1,2.0,,1.0,2.0,2.0,1.0,3958890.0,2.0,4.0,2,73.0,5,,,,2.0,1.0,,,,260.0,2.0,0.0
25,20140101140958,1,1.0,29.1,1,1.0,5.0,90,10,0.0,0.0,,2,1,2.0,,2.0,,,1.0,10200000.0,2.0,3.0,1,62.0,5,,,,2.0,,1.0,1.0,,159.0,2.0,0.0
26,20140101140967,1,2.0,23.799999,3,5.0,,65,5,0.0,0.0,1.0,1,1,2.0,,2.0,,,1.0,3853025.0,2.0,2.0,1,62.0,5,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,130.0,,0.0
27,20140101140973,1,2.0,26.5,3,5.0,5.0,90,0,0.0,0.0,,2,2,1.0,7.0,2.0,,,1.0,13200000.0,2.0,1.0,2,73.0,5,3.0,,,2.0,,,,,201.0,2.0,0.0
28,20140101140990,1,1.0,36.599998,3,1.0,,10,3,0.0,0.0,,1,1,1.0,4.0,2.0,,,1.0,5506050.0,2.0,2.0,1,72.0,5,,1.0,2.0,3.0,2.0,2.0,6.0,2.0,270.0,,0.0
29,20140101140995,1,1.0,28.200001,3,1.0,5.0,95,0,0.0,0.0,,2,2,1.0,2.0,2.0,,,1.0,7947619.0,2.0,2.0,1,66.0,5,,1.0,2.0,1.0,,2.0,4.0,2.0,175.0,2.0,0.0
30,20140101141014,1,1.0,19.799999,3,1.0,,130,30,0.0,0.0,2.0,1,1,1.0,1.0,2.0,,,1.0,14600000.0,2.0,2.0,2,61.0,5,,,,2.0,1.0,,,,105.0,2.0,0.0
